HIGH_DEG,INST_TYPE,INST_EXP_PS,AVG_FAC_SAL_PM,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,PER_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_P_MS,HL_ED_P_HS,HL_ED_P_PS,HECR
4,1,4099,5450,13732,0.4277,0.5723,0.135101236,0.643074718,0.034760796,0.1352,0.371797169,0.150152303,0.166099265,0.149973123,0.16197814,0.026638957,0.292650671,0.680710372,0.4081
4,1,56218,5476,537,0.2048,0.7952,0.380145279,0.295399516,0.084745763,0.2291,0.411622276,0.186440678,0.188861986,0.118644068,0.094430993,0.038071066,0.406091371,0.555837564,1
4,1,4597,6029,11949,0.5181,0.4819,0.102785309,0.75129406,0.031796894,0.128,0.385999507,0.15504067,0.185112152,0.144441706,0.129405965,0.017934922,0.336920318,0.64514476,0.4345
4,1,3458,4698,4202,0.4767,0.5233,0.259194396,0.586690018,0.0303561,0.1794,0.501459428,0.186806772,0.173380035,0.102159953,0.036193812,0.021276596,0.464956195,0.513767209,0.3781
4,1,3765,4977,7653,0.3936,0.6064,0.139077341,0.735074627,0.026797829,0.1065,0.398236092,0.172998643,0.174016282,0.161804613,0.092944369,0.014539007,0.423758865,0.561702128,0.3203
4,2,3695,4226,1331,0.4576,0.5424,0.325648415,0.534582133,0.079250721,0.0308,0.239193084,0.188760807,0.224783862,0.22334294,0.123919308,0.029895366,0.310911809,0.659192825,0.5255
4,3,6114,3314,4023,0.5909,0.4091,0.072486773,0.552910053,0.031216931,0.3773,0.46984127,0.144973545,0.130687831,0.107407407,0.147089947,0.018846374,0.252998287,0.72815534,0.5285
4,2,7175,5344,2795,0.3832,0.6168,0.281738281,0.509765625,0.030761719,0.0522,0.274414063,0.138671875,0.166503906,0.208007813,0.212402344,0.04496124,0.29250646,0.6625323,0.5195
4,2,6210,5014,2341,0.3678,0.6322,0.130025663,0.744225834,0.023952096,0.0683,0.236954662,0.131736527,0.181351583,0.215568862,0.234388366,0.024844721,0.238686779,0.7364685,0.5388
4,1,5359,6938,15347,0.5684,0.4316,0.048723898,0.793735499,0.017401392,0.0746,0.312064965,0.126682135,0.156148492,0.158932715,0.246171694,0.042481294,0.25923244,0.698286266,0.59
4,1,3875,6240,4223,0.3701,0.6299,0.223275408,0.511321748,0.036334913,0.2155,0.501316482,0.172195893,0.153238547,0.096366509,0.07688257,0.14235706,0.378646441,0.478996499,0.3375
4,1,3761,6130,4992,0.3674,0.6326,0.22020202,0.475757576,0.034343434,0.3289,0.529292929,0.17020202,0.143939394,0.103030303,0.053535354,0.141799544,0.373006834,0.485193622,0.4072
4,1,4969,6370,9636,0.3741,0.6259,0.212287941,0.471114168,0.041953233,0.1768,0.515818432,0.154974782,0.141448877,0.115084824,0.072673086,0.09715994,0.370702541,0.532137519,0.3948
